situation,thought,reframe,has_distortion,all-or-nothing thinking,comparing and despairing,disqualifying the positive,emotional reasoning,fortune telling,labeling,magnification,mind reading,overgeneralizing,should statements,mental filter,personalization and blaming
"I'm hanging out with a friend chit chatting, but realizing he's not putting much effort, like usual, into having good conversation.  He just repeats the same thing ad nauseam.","He's a nice guy, but I don't want to be friends with him any more as he's putting no effort into not being completely boring.",He is a quieter person but I wonder if it takes him longer to open up.,1,0,0,0,0,0,1,0,0,0,0,0,0
"I'm hanging out with a friend chit chatting, but realizing he's not putting much effort, like usual, into having good conversation.  He just repeats the same thing ad nauseam.","He's a nice guy, but I don't want to be friends with him any more as he's putting no effort into not being completely boring.",He is not very chatty conversationally at times but he is a nice person and that means something.,1,0,0,1,0,0,0,0,0,0,0,0,0
I'm late for the meeting,I never do anything right,Forget that! It is okay to be late to a meeting. Let's not blow this out of proportion.,1,0,0,0,0,0,0,0,0,1,0,0,0
I'm late for the meeting,I never do anything right,"I do some things right and some wrong, just like everyone else. I fouled up on my meeting, but let's not blow this out of proportion",1,0,0,0,0,0,0,0,0,1,0,0,0
I'm late for the meeting,This shows what a jerk I am,"Come on, now, I'm not ""a jerk."" I am generally punctual and enthusiastic about meetings",1,0,0,0,0,0,1,0,0,0,0,0,0
I'm late for the meeting,This shows what a jerk I am,"I may have come across as ""a jerk"", but I'll try to be on time for the next meeting",1,0,0,0,0,0,1,0,0,0,0,0,0
I'm waiting everyday for the weekend and the holidays. I'm not getting anything productive done.,I can't bring myself to be motivated.,"I'm still getting some work done, even if it's not as much as I want. I'm clearly finding some motivation even though it may not feel like it.",1,1,0,0,0,0,0,0,0,0,0,0,0
I've been a massive bummer in my personal life and am making people feel bad,I'm worthless,I am not worthless.,1,1,0,0,0,0,1,0,0,0,0,0,0
I've been a massive bummer in my personal life and am making people feel bad,I'm worthless,"I may have shortcomings in my personal life but my professional life is thriving and I am well thought of at work.  Therefore, I am not completely worthless.",1,0,0,0,0,0,1,1,0,0,0,0,0
I've been applying for jobs and just got a call that someone else filled a position I applied for.,I might never get hired.,I feel anxious about finding a new job but know that eventually things will work out.,1,0,0,0,0,0,0,1,0,0,0,0,0
I've been applying for jobs and just got a call that someone else filled a position I applied for.,I might never get hired.,I'm frustrated that I got rejected but will stay committed to finding the right job for me.,1,0,0,0,0,0,0,0,0,1,0,0,0
I've been sitting at my desk for a long time and I haven't been able to get anything done.,I will lose my job eventually.,It will be hard to keep this job if I'm not able to be more productive. I am struggling now but I can and will find a way to do better.,1,0,0,0,0,0,0,1,0,0,0,0,0
I've been sitting at my desk for a long time and I haven't been able to get anything done.,I will lose my job eventually.,"This is hard and I'm feeling anxious about my performance. I will try my best, be kind to myself, and find ways to improve.",1,0,0,0,0,1,0,0,0,0,0,0,0
I've been sitting at my desk for a long time and I haven't been able to get anything done.,Other people are probably doing it better than me.,I'm doing my best. I'm struggling right now but I know I can do this.,1,0,1,0,0,0,0,0,0,0,0,0,0
I've been sitting at my desk for a long time and I haven't been able to get anything done.,Other people are probably doing it better than me.,"I'm having difficulty concentrating and being productive. This makes me feel anxious but I will do my best to ground myself, get things done, and work to be proud of what I accomplish.",1,0,1,0,0,0,0,0,0,0,0,0,0
I've mentioned being sad and no one seems to think its anything serious,No one cares about me,Nobody takes me serious when I share my sad feelings,1,0,0,0,0,0,0,0,0,1,0,0,1
I've mentioned being sad and no one seems to think its anything serious,No one cares about me,No one cares about my sadness,1,0,0,0,0,0,0,0,0,1,0,0,1
In class I feel like others hear my thoughts and judge me. When some things really don't work(for example I have some things for school for tommorow and I can't find how to do that thing after searching hours on internet I get angry and sometimes results to self harm(punching). I sometimes feel like everybody is here just to watch me and see how I react to things(sounds insane).,Am I insane?,"It's ok to feel self-conscious and feel frustrated when I can't figure something, but I may need to get help for the self-harming because that doesn't seem healthy.",1,0,0,0,0,0,1,0,0,0,0,0,0
In class I feel like others hear my thoughts and judge me. When some things really don't work(for example I have some things for school for tommorow and I can't find how to do that thing after searching hours on internet I get angry and sometimes results to self harm(punching). I sometimes feel like everybody is here just to watch me and see how I react to things(sounds insane).,Am I insane?,"These behaviors don't make me insane, but they're still concerning and I should probably reach out for help",1,0,0,0,0,0,1,0,0,0,0,0,0
It's so hard to study effectively and it takes all the time and energy I have. And then I still don't feel prepared.,I'm so behind and i'm so afraid of the terrible grades I will recieve. I can't do anything right,If I prepare myself ahead of time for the test I won’t feel like such a failure and will get a good grade,0,0,0,0,0,0,0,0,0,0,0,0,0
I’m a drug addict,I feel like I will never be loved in a romantic way because I am not very pretty,"I feel a lot of shame and anxiety about having an addiction, but that doesn't mean I'm going to go crazy. I know I can get the help I need.",1,0,0,0,1,0,0,0,0,0,0,0,0
I’m a drug addict,I feel like I will never be loved in a romantic way because I am not very pretty,"Addiction is challening to overcome, but many people successfully recover. I can focus on what I can control, like getting the help I need.",1,0,0,0,0,1,0,0,0,0,0,0,0
Last week I found out that my mother had experienced sudden back pain that lasted for a few days  and I somehow worked myself into a very concerned state where I kind of felt like she was going to become completely incapacitated and have to live in a nursing home.,I'm afraid she's going to die soon.,My mother may have experienced sudden back pain because she was gardening for several hours the day before. The back pain is likely a result of the time spent leaning forward and is nothing to worry about.,1,0,0,0,0,0,0,1,0,0,0,0,0
Last week I found out that my mother had experienced sudden back pain that lasted for a few days  and I somehow worked myself into a very concerned state where I kind of felt like she was going to become completely incapacitated and have to live in a nursing home.,I'm afraid she's going to die soon.,I have worked myself into a very concerned state over my mother's back pain. I should try calling my mom to check in and ask how her pain is doing. Maybe she will tell me she is feeling slightly better and my worries can be at ease.,1,0,0,0,1,0,0,0,0,0,0,0,0
"Last week my sister and I facetime. I didnt show much interest. Later that day, my cousin told me that my sister was sad because of my behavior.",I made my sister sad,I may have not paid as much attention to my sister as I normally do and it sounds like this made her feel bad. I made a mistake and my sister and I trust each other enough to resolve this,1,0,0,0,0,0,0,0,1,1,0,0,1
"Last week my sister and I facetime. I didnt show much interest. Later that day, my cousin told me that my sister was sad because of my behavior.",I made my sister sad,"My sister would tell me directly if something was bothering her, we can talk through this next time we have a conversation. Sometimes people may feel sad by what I say, and that is mostly out of my control.",1,0,0,0,0,0,0,0,1,1,0,0,1
"Last week, my co-worker was invited to participate in a workshop and I was not.",My co-worker is better than me.,"There are many reasons why I was not invited to participate in a workshop, one of which may be that my company does not feel I need training on this topic.",1,0,1,0,0,0,0,0,0,0,0,0,1
"Last week, my co-worker was invited to participate in a workshop and I was not.",My co-worker is better than me.,This one event does not reflect my value as an employee,1,0,0,0,0,0,1,0,0,0,0,0,1
Lost best friend murdered this time of year in 2017.,My parents are judging me,It's normal to feel intense emotion after experiencing something traumatic like this. I can give myself time and space to heal.,1,0,0,0,1,0,0,0,0,0,0,0,0
"Meeting an old friend, that I hadn't seen in 21 years for lunch.","what if i have nothing to say, what if we don't click anymore, what if this goes badly.",it could go badly. it could also go well. who knows,1,0,0,0,0,1,0,0,0,0,0,0,0
"Meeting an old friend, that I hadn't seen in 21 years for lunch.","what if i have nothing to say, what if we don't click anymore, what if this goes badly.",maybe i'll have fun. we were friends in the past for a reason.,1,0,0,0,0,1,0,1,0,0,0,0,0
My Dentist told me I'd need a root canal procedure.,I'm going to have to endure some physical and financial pain.,"The root canal will help improve my oral health in the long run, and maybe eating won't hurt so bad!",1,0,0,0,0,0,0,1,0,0,0,0,0
My Dentist told me I'd need a root canal procedure.,I'm going to have to endure some physical and financial pain.,My dentist may have some numbing medication so I may not feel the procedure. My insurance is likely to cover at least part of the payment.,1,0,0,0,0,1,0,0,0,0,0,0,0
My boss interrupted my break to tell me to work,I feel guilty,"I'm feeling guilty, but I don't think I did anything wrong",1,0,0,0,1,0,0,0,0,0,0,0,0
My boss interrupted my break to tell me to work,I feel guilty,"I'm feeling guilty, but this may simply be a feeling and I may not have done anything wrong",1,0,0,0,1,0,0,0,0,0,0,0,0
My boss on the construction site was very mean and aggressive with me.,I must not have been doing a good job,"My boss is in a bad mood, that doesn't mean I am responsible.",1,0,0,0,0,0,0,0,0,0,0,0,1
My boss pointed out an unintentional error in my work,This work is a failure,The presence or absence of an error doesn't make a work a success or a failure. I can fix it and improve,1,1,0,0,0,0,0,0,0,0,0,0,0
My boss pointed out an unintentional error in my work,This work is a failure,This work is going great and a small error shouldn't be of concern. I'll fix it and things will improve.,1,1,0,0,0,0,0,0,0,0,0,0,0
My boss pointed out an unintentional error in my work.,I am incapable of doing anything right.,It's okay for me to make mistakes. I'm only human.,1,1,0,0,0,0,1,0,0,0,0,0,0
My boss pointed out an unintentional error in my work.,I am incapable of doing anything right.,"Making mistakes does not mean that I'm a bad worker, incompetent, or incapable of success.",1,1,0,0,0,0,1,0,0,1,0,0,1
My boyfriend didn't reply back to me instantly.,"If I text my boyfriend too much, he will get bored of me.","My boyfriend didn't reply back to my text right away, therefore he must be busy and will likely text back when he is able.",1,0,0,0,0,1,0,0,0,0,0,0,0
My boyfriend didn't reply back to me instantly.,"If I text my boyfriend too much, he will get bored of me.","I know my boyfriend typically texts me back right away and has told me he enjoys receiving my texts. However, since he didn't text me back immediately, I will give him time to respond and if he doesn't text back in 1 hr then I will try to reach out again.",1,0,0,0,0,0,0,0,1,0,0,0,0
My boyfriend made fun of me for losing a game. I got upset and we had an argument.,I'm really bad at everything I do.,"There are things in my life that I do well, and I feel confident and proud of those things.",1,1,0,0,0,0,1,0,0,0,0,0,0
My boyfriend made fun of me for losing a game. I got upset and we had an argument.,I'm really bad at everything I do.,It's okay for me to lose a game. I can be good at some things and not as good at other things.,1,1,0,0,0,0,0,0,0,1,0,0,0
My boyfriend told me that I shouldn't clean the bathroom and to go and deal with the kids.,He doesn't think that I'm capable of watching the kids and cleaning the kitchen at the same time.,i can do both at the same time.,0,0,0,0,0,0,0,0,0,0,0,0,0
My boyfriend told me that I shouldn't clean the bathroom and to go and deal with the kids.,He doesn't think that I'm capable of watching the kids and cleaning the kitchen at the same time.,my boyfriend should deal with the kids right now. i'm busy.,0,0,0,0,0,0,0,0,0,0,0,0,0
My boyfriend went to visit his son and wound up spending the entire day with his son and his son's mother while ignoring my phone calls.,I thought he was cheating on me,It is good my boyfriend is spending time with his son. He will probably call me when he has some free time.,1,0,0,0,0,0,0,0,1,0,0,0,0
My boyfriend went to visit his son and wound up spending the entire day with his son and his son's mother while ignoring my phone calls.,I thought he was cheating on me,"My boyfriend spending time with his son is important to him. Seeing his son and his ex does not mean he is cheating on me, it is a part of co-parenting and my boyfriend still loves me.",1,0,0,0,0,0,0,0,1,0,0,0,0
"My brother and I have been really getting into a lot of fights. This past weekend he blew up again because he thought I was talking over him, but he does it all the time to me. I was upset because of his temper tantrums again, it has been happening too much over the past few or more years. He is supposed to act like an adult now and he isn't. I can't really talk to him anymore because I fear that he will explode, although he does t anyways.",I am so angry that he is such a hypocrite. He doesn't realize he is guilty of the same things he explodes about.,I'm upset with my brother's behavior and it's difficult to have a relationship with him. I can set boundaries with how often I talk with him or engage with him.,0,0,0,0,0,0,0,0,0,0,0,0,0
My crush doesn't like me back,Never finding love,This person I liked didn't like me back.  I am worthy of being loved and it will happen when the time is right.  There are plenty of people that I haven't even met yet who could love me.,1,1,0,0,0,0,0,0,0,0,0,0,0
My crush doesn't like me back,Never finding love,Just because the person I like doesn't like me back doesn't mean I won't ever find love again.  I know that I will eventually find someone I love and who loves me back.   I just need to be patient.,1,0,0,0,0,0,0,0,0,1,0,0,0
My dad is in the next room in his hospice bed and im afraid of not doing everything right.,Am I doing enough,"When I worry whether or not I'm doing enough, I am going to ask my dad to help me make a list of what he regularly needs during the day and things I can do that would make him feel comfortable.",1,0,0,0,0,0,0,0,0,0,0,0,1
My daughter lied to me about a photo on her phone because she was embarrassed,she doesnt want to share things with me,My daughter may not be ready to share this with me right now. She is embarrassed and may come to me when she is ready.,1,0,0,0,0,0,0,0,0,1,0,0,0
My daughter lied to me about a photo on her phone because she was embarrassed,she doesnt want to share things with me,"My daughter is embarrassed. That is why she does not want to share this with me. There are likely other things she wants to share with me, but she will not want to share everything with me right away. That is part of growing up, and that is OK.",1,0,0,0,0,0,0,0,0,0,0,0,1
My daughter refused to do anything I instructed her to and embarrassed me greatly before guests I was hosting.,"If I cannot control her now, I have lost her perhaps forever",I am not a bad parent just because of this experience. I'm trying my best and that's ok.,1,0,0,0,0,0,0,1,0,1,0,0,0
My daughter refused to do anything I instructed her to and embarrassed me greatly before guests I was hosting.,"If I cannot control her now, I have lost her perhaps forever",I am not going to lose my daughter because of this behavior. This is standard child behavior.,1,0,0,0,0,0,0,1,0,1,0,0,0
My daughter spilled a drink on my desk.,She ruined my project,"I should have been watching my daughter more closely if I knew she had her drink close to my desk and I knew I had an important project there. I should not be upset with her, mistakes happen and I know better for next time.",1,0,0,0,0,0,0,0,0,0,0,0,1
My daughter spilled a drink on my desk.,She ruined my project,"I should not have had my daughter have her drink so close to my project. She should have been more careful, but  I could have prevented this in the first place.",1,0,0,0,0,0,0,0,0,0,0,0,1
My daughter's illness,worry about a disabled family member,I worry about my daughter and her illness and I need to sit down with her to see how I can support her,0,0,0,0,0,0,0,0,0,0,0,0,0
My diet is not working,I feel like a failure,"Feelings may not be a representation of what is actually happening. I think I am thinking that because I feel like a failure I must be a failure, which may not be true",1,0,0,0,1,0,0,0,0,0,0,0,0
My diet is not working,I feel like a failure,"I'm feeling like a failure, but I may well be on the road to success in reality",1,0,0,0,1,0,0,0,0,0,0,0,0
My father was being abusive to me,I can't do anything right. I am a disappointment.,"These negative emotions are there to protect me, but I can also learn to open myself up to positive experiences in the future.",1,0,0,0,0,1,0,0,0,0,0,0,0
My father was being abusive to me,I can't do anything right. I am a disappointment.,It's natural to want to protect myself after experiencing abuse. Not everyone is like my father. I can get the help I need to be open to healthy relationships.,1,0,0,0,0,0,0,0,0,1,0,0,0
My financial situation is going out of hand,I'm worried about my future,I have been in difficult financial situations before and turned them around.  I have learned from those experiences and I have something to learn from my current situation that could change my future circumstances.,1,0,0,0,0,1,0,0,0,0,0,0,0
My financial situation is going out of hand,I'm worried about my future,I have made positive changes in other areas of my financial picture.  Opting for payroll deductions into the company's pension plan will help to alleviate my concerns about the future.,1,0,0,1,0,0,0,0,0,0,0,0,0
My first boyfriend and I broke up a few years ago,My partner will leave me if my depression doesn't go away soon.,Did boyfriend 6 yrs ago leave due to the  your depression too?,1,0,0,0,0,1,0,0,0,0,0,0,0
My first boyfriend and I broke up a few years ago,My partner will leave me if my depression doesn't go away soon.,He needs to be more support of you with your depression,1,0,0,0,0,0,0,0,1,0,0,0,0
"My friend and I were looking at apartments. His first choice for apartments was one that was too small for my life goals, as I could not set up an office in it. He wanted the better room in the apartment.",He only cares about himself.,I want to live with this friend because he has many good qualities and finding house is just very stressful,1,0,0,1,0,0,0,0,0,1,0,0,0
"My friend and I were looking at apartments. His first choice for apartments was one that was too small for my life goals, as I could not set up an office in it. He wanted the better room in the apartment.",He only cares about himself.,We both wanted the better room in the apartment for our own reasons which may just mean this is not  a good apartment for us,1,0,0,0,0,0,0,0,0,1,0,0,0
"My friend asked for advice, but I was unable to provide it",I'm completely self-centered and thoughtless,I may have come across as self-centered and thoughtless. But I'm happy that my friend still sought my advice,1,1,0,0,0,0,0,0,0,0,0,0,0
"My friend asked for advice, but I was unable to provide it",I'm completely self-centered and thoughtless,"I'm quite thoughtful. I was just not able to provide advice this time, but I'm generally good",1,1,0,0,0,0,0,0,0,0,0,0,0
My friend asked for help and I denied,I'm self-centered,"I may be ""self-centered"" but I did the right thing",1,0,0,0,0,0,1,0,0,0,0,0,0
My friend asked for help and I denied,I'm self-centered,"Just because I refused to help a friend, doesn't mean I'm ""self-centered""",1,0,0,0,0,0,1,0,0,0,0,0,0
My friends invited me to go bowling this Saturday,I bet all my friends will be amazing at bowling apart from me,I'm going to beat all my friends tomorrow. Let me start practicing now,1,0,0,0,0,0,0,0,1,0,0,0,0
My friends invited me to go bowling this Saturday,I bet all my friends will be amazing at bowling apart from me,"I'm predicting that my friends will all do better, but I will only know it on Saturday",1,0,0,0,0,0,0,0,1,0,0,0,0
My girlfriend came home later than usual after work and didn't bother to call and let me know or answer the phone when I called to check on her. She acted like it was not big deal after she came home.,My girlfriend is hiding something from me.,I am feeling hurt by her actions and can discuss that with her rather than try to analyze her behavior,1,0,0,0,1,0,0,0,0,0,0,0,0
My girlfriend came home later than usual after work and didn't bother to call and let me know or answer the phone when I called to check on her. She acted like it was not big deal after she came home.,My girlfriend is hiding something from me.,My girlfriend may have been very busy at work today and I can talk with her about how this made me feel,1,0,0,0,0,0,0,1,0,1,0,0,0
My girlfriend is getting a new job in a distant city.,This is going to cause us to break up.,I'm anxious that my partner's relocation could damage our relationship.,1,0,0,0,0,0,0,1,0,0,0,0,0
My girlfriend is getting a new job in a distant city.,This is going to cause us to break up.,My girlfriend cares about me and we will figure this out together,1,0,0,0,0,0,0,1,0,0,0,0,0
My girlfriend said I was a taker when I said she did not emotionally support me before going to a movie last Saturday.,My girlfriend will leave me.,she will not leave me. this is something that can make our relationship stronger.,1,0,0,0,0,1,0,1,1,0,0,0,0
My girlfriend was distracted by other men at the gym.,I'm not attractive enough.,My partner is attracted to me otherwise she would not be in a relationship with me,1,0,0,0,0,0,0,0,1,0,0,0,1
My girlfriend was distracted by other men at the gym.,I'm not attractive enough.,People are attracted to other people without taking action on it or thinking less of their monogamous partners,1,0,0,0,0,0,0,0,0,1,0,0,1
"My girlfriend was sad that I wanted to go out with my friends, and started a fight.",Why can't I have fun? Why must I stay home all the time?,"I wonder if there's something I'm missing in our dynamic. It's important to talk about how she feels when I go out, and is there something else that's not working in our relationship.",1,0,0,0,0,0,0,0,0,1,0,0,1
"My girlfriend was sad that I wanted to go out with my friends, and started a fight.",Why can't I have fun? Why must I stay home all the time?,"My girlfriend is telling me that she's feeling sad that I'm going out, I wonder if she's feeling left out or lonely. We should talk about how she's feeling.",1,0,0,0,0,0,0,0,0,1,0,0,1
"My girlfriend wasnt texting anyone, and did not get me anniversary present",I am scared my girlfriend is going to break up with me because I dont do much for her.,My girlfriend isn’t texting me back as quickly as she usually does She must be breaking up w/ me or just very busy,1,1,0,0,0,0,0,0,0,0,0,0,0
"My girlfriend wasnt texting anyone, and did not get me anniversary present",I am scared my girlfriend is going to break up with me because I dont do much for her.,… or even she could’ve been kidnapped too!???,1,0,0,0,0,0,0,1,0,0,0,0,0
My grandfather died one year ago,I am scared something bad will happen to the people I love,When someone I love dies I worry something bad will happen to the ones I love,1,0,0,0,0,1,0,1,0,0,0,0,0
My grandfather died one year ago,I am scared something bad will happen to the people I love,Just because my grandpa died now other bad thing I worry will happen to my loved ones now,1,0,0,0,0,1,0,0,0,0,0,0,0
My grandma died a few years ago and my aunt recently had major surgery.,I'm scared of losing loved ones,I am afraid of losing any more loved ones.  My aunt had major surgery but she will recover.  It's not realistic to think something bad is going to happen just because my grandmother died.,1,0,0,0,0,0,0,1,0,0,0,0,0
My guitar teacher told me I needed to correct my posture,I've been practicing but I'm not making any progress,I feel self conscious that my teacher is pointing out places to improve but that is this person's job!,1,1,0,0,0,0,0,0,0,0,0,0,0
My guitar teacher told me I needed to correct my posture,I've been practicing but I'm not making any progress,I'm glad my teacher is helping me find ways to improve.,1,0,0,1,0,0,0,0,0,1,0,0,0
My husband and his friends are always speaking Spanish in front of me and I cannot understand anything,they are saying things in front of me that they don't want me to know or understand,There are many reasons why native Spanish speakers may want to speak Spanish to each other that are not about me.,1,0,0,0,0,0,0,0,0,1,0,0,1
My husband asked me to make sure I cleaned the cutting board better.,I do so much around here and you are harping about the cutting board?,It is possible I did not clean the cutting board well because I have many other responsibilities and that is okay,1,0,0,0,0,0,0,0,0,0,0,0,1
My husband asked me to make sure I cleaned the cutting board better.,I do so much around here and you are harping about the cutting board?,My husband can both appreciate what I do and ask for a need to be met,1,0,0,1,0,0,0,0,0,0,0,0,0
My husband cancelled our wedding anniversary dinner.,The thought that he does not care about me anymore.,My husband canceling our plans doesn't necessarily mean he doesn't care about me anymore. We have a lot going on right now. I need to talk with him about how we can find ways to spend more time together.,1,0,0,0,0,0,0,1,1,1,0,0,0
My husband cancelled our wedding anniversary dinner.,The thought that he does not care about me anymore.,I am disappointed he canceled our plans but I should talk with him to understand why he canceled and what alternative plans we may be able to make together.,1,0,0,0,0,0,0,1,0,1,0,0,0
"My husband did something for me"" even if it's clear I didn't want it.""",I don't know why I keep trying. I should just give up. Surrender. Sleep forever.,Atleast you have a husband trying to do things for you,1,0,0,0,0,0,0,1,0,0,0,0,0
"My husband did something for me"" even if it's clear I didn't want it.""",I don't know why I keep trying. I should just give up. Surrender. Sleep forever.,Giving up here it sounds like she is suicidal “sleep forever “ not good thinking in my eyes,1,0,0,0,0,0,0,1,0,0,0,0,0
My husband got two tickets to a Bruins game the other day and rather than asking me if I wanted to go with him he invited a friend.,My husband doesn't want to spend time with me.,"I can express feeling left out to my husband, and that I would like us to have time to connect later this week. I can have a conversation with him instead of making assumptions about what he's thinking.",1,0,0,0,0,0,0,0,1,1,0,0,0
My husband got two tickets to a Bruins game the other day and rather than asking me if I wanted to go with him he invited a friend.,My husband doesn't want to spend time with me.,I spend a lot of time with my partner and maybe he wants some connecting time with a friend. I have a healthy relationship with my partner.,1,0,0,0,0,0,0,0,0,1,0,0,1
My inabilities cost me my job.,I would not find a job,I feel anxious about my work performance. I know that if I improve and try my hardest I will find something I am good at and have success.,1,0,0,1,0,0,0,0,0,0,0,0,0
My inabilities cost me my job.,I would not find a job,There are things I could have done better to keep that job. I will work to grow and try to do better next time.,1,0,0,0,0,0,0,0,0,1,0,0,0
"My love is leaving, and there's no turning back.",What if I never see her again?,I'm feeling sad and lonely that my love has left. I hope we can reunite in the future or that I have the chance to fall in love again.,1,0,0,0,0,0,0,1,0,0,0,0,0
"My love is leaving, and there's no turning back.",What if I never see her again?,It hurts to watch my love leave. I wonder what the future holds for me romantically but I will remember the positive parts of this relationship fondly.,1,0,0,0,0,1,0,0,0,0,0,0,0
My manager is giving more responsibilities to another co-worker.,I deserve more than the other co-worker to get more responsibilities.,Another coworker's responsibilities are not my concern,1,0,0,0,0,0,0,0,0,0,0,0,1
My manager is giving more responsibilities to another co-worker.,I deserve more than the other co-worker to get more responsibilities.,What my manager decides to give my coworker has nothing to do with me,1,0,0,0,0,0,0,0,0,0,0,0,1
My mom cooked me breakfast and the eggs which she knows i like over medium were over cooked. I became very upset.,frustration,"I also overcook my food sometimes, people make mistakes",1,0,0,1,0,0,0,0,0,0,0,0,0
My mom cooked me breakfast and the eggs which she knows i like over medium were over cooked. I became very upset.,frustration,It was very nice of my mother to make me food and sometimes eggs get overcooked.,1,0,0,1,0,0,0,1,0,0,0,0,0
My next door neighbors filed a complaint against us last week blaming our dogs for excessive barking,They are so wrong and I'm so pissed but I know I can't prove it and they will probably win because they won't ever admit it and I have to do something right NOW! or I might lose my dogs.,Maybe we can talk to the neighbor to figure out what happened.,1,0,0,0,0,0,0,1,0,0,0,0,0
My next door neighbors filed a complaint against us last week blaming our dogs for excessive barking,They are so wrong and I'm so pissed but I know I can't prove it and they will probably win because they won't ever admit it and I have to do something right NOW! or I might lose my dogs.,i'm not going to lose my dogs. I can bring them indoors next time.,1,0,0,0,0,0,0,1,0,1,0,0,0
My partner broke up with me and slept with someone else,No one cares about me,"My partner doesn't care about me and broke up with me, but many other people care about me.",1,0,0,0,0,0,0,0,0,1,0,0,0
My partner broke up with me and slept with someone else,No one cares about me,My partner and I are not together anymore but that does not mean he doesn't still care about me in some way.  I will have other relationships with people who do care deeply about me but it may not happen right away.,1,0,0,0,0,0,0,0,1,1,0,0,0
My partner left me.,I did something wrong,"I'm feeling sad, anxious, and lonely as my partner leaves. I'm thankful for the positive parts of our relationship and will mourn this loss, but I know I will eventually find the person who is right for me.",1,0,0,0,0,0,0,0,1,0,0,0,0
My partner left me.,I did something wrong,I'm feeling hurt that my partner left and I need to process how we got to this point.,1,0,0,0,0,0,0,0,0,1,0,0,1
"My partner was visiting her daughter, who was having surgery.  I got annoyed with her on the phone because she was being distracted.",I wanted her to pay attention and not interrupt me.,"My partner should be there for her daughter. I can call her later to check in on how she is feeling, rather than making myself the priority.",1,0,0,0,0,0,0,0,0,0,0,0,1
"My partner was visiting her daughter, who was having surgery.  I got annoyed with her on the phone because she was being distracted.",I wanted her to pay attention and not interrupt me.,My partner was probably distracted because her daughter is having surgery. Her daughter should be her priority right now and I shouldn't take it so personally.,1,0,0,0,0,0,0,0,0,0,0,0,1
"My relationship ended out of nowhere, constantly stressed about my job, i ever feel like be worth it to another person or to my friends unless they need something.",I don’t feel like I’m worth it.,"There are times in the past where I have been worth, so I will be worth it in the future.",1,1,0,0,0,0,0,1,0,0,0,0,0
"My relationship ended out of nowhere, constantly stressed about my job, i ever feel like be worth it to another person or to my friends unless they need something.",I don’t feel like I’m worth it.,"Given the strong negative feelings I'm having, I should figure some things out. I should ask my partner why they ended things, talk to my boss about my work stress, and communicate to my friends that I'm feeling used by them.",0,0,0,0,0,0,0,0,0,0,0,0,0
"My sister looking amazing and me looking heinous, people at school being toxic",I hate myself and im a fat pig,It's okay to feel jealous of my sister. But I can also learn to see the beauty in myself.,1,0,1,0,0,0,0,0,0,0,0,0,0
"My sister looking amazing and me looking heinous, people at school being toxic",I hate myself and im a fat pig,"I may not always like the way I look, but there are other things I love about myself.",1,0,0,1,0,0,0,0,0,0,0,0,0
My sister put pictures of everyone but me on her holiday card,No one cares about me,Maybe it was an oversight and it does not necessarily mean she does not care,1,0,0,0,0,0,0,0,0,1,0,0,0
My sister tried to commit suicide whilst at middle school,I was not a good enough sister,My sister has been having a really hard time but I have worked as hard as I can to support her.,1,0,0,0,0,0,1,0,0,1,0,0,0
My sister tried to commit suicide whilst at middle school,I was not a good enough sister,My sister's suicide attempt is reflective of the pain and difficulties she has been experiencing and is not a reflection on me.,1,0,0,0,0,0,1,0,0,1,0,0,1
My son threw a tantrum at an indoor playground and I had to carry him out kicking and screaming,I'm a bad mom,i'm a great mom. my son was just having a bad day.,1,0,0,0,0,0,1,0,0,0,0,0,0
My spouse became verbally abusive with me.,He might hit me,I am allowed to leave and call for help.,0,0,0,0,0,0,0,0,0,0,0,0,0
My spouse became verbally abusive with me.,He might hit me,"If I feel unsafe, I can leave the situation.",0,0,0,0,0,0,0,0,0,0,0,0,0
My teenage child wanted to go out with friends and I said no,"I feel horrible about it, I must be a bad parent","I'm feeling horrible for saying no, but that doesn't necessarily mean I'm a bad parent. I may need to be harsh at times, but there are also times when I'm gentle and kind",1,0,0,0,1,0,0,0,0,0,0,0,0
My teenage child wanted to go out with friends and I said no,"I feel horrible about it, I must be a bad parent","I'm feeling horrible, but a good parent is harsh when they need to be",1,0,0,0,1,0,0,0,0,0,0,0,0
My uncle was in a serious accident and ignorant members of my family did not contact me and let me know.,The anger I felt because some members of the family do not like me so they refused to let me know about my beloved uncle.,My family members may have had to rush to the hospital and maybe they didn't have time to call me.,1,0,0,0,0,0,0,0,1,0,0,0,0
My uncle was in a serious accident and ignorant members of my family did not contact me and let me know.,The anger I felt because some members of the family do not like me so they refused to let me know about my beloved uncle.,This should be about my uncle and I should not make the situation about me.,1,0,0,0,0,0,0,0,0,0,0,0,1
My wife accused me of cheating.,She doesn't trust me.,I'm assuming that she doesn't trust me. I just need to ask her what's going on.,1,0,0,0,0,0,0,0,1,0,0,0,0
My wife accused me of cheating.,She doesn't trust me.,"It hurts to think that she doesn't trust me, but I need to ask her why she accused me of cheating.",1,0,0,0,0,0,0,0,1,0,0,0,0
My wife didn't look up from her phone or answer me when I came to talk to her.,Am I not worth her time?,Maybe my wife is busy at the moment and I should come back in a few minutes. I'm sure she will give me her time if I wait until after she isn't busy.,1,1,0,0,0,0,0,0,0,0,0,0,0
